soc,route_code,driver,timestamp_data_utc,elv_spy,speed,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,altitude,start_timestamp,end_timestamp,capacity,ref_consumption,Frontal_Wind,value_counts,total_time,distance
81,20230418_NISSAN_HERNANI_TOLOSA_006,d2,18/04/2023 08:19,100.64285714285714,88.73571428571428,14.0,99.27,-843.7142857142857,11625.714285714286,2.0,81.42857142857143,1.1414285714285715,6034.714285714285,101.06919814285713,09:27.9,29:02.0,62000.0,174.0,1.6029103305620078,14,120.0,2.9578571428571427
81,20230419_NISSAN_ANDOAIN_AZPEITIA_031,d3,19/04/2023 11:20,210.0,46.73636363636364,22.5,99.26,-1075.3636363636363,12200.0,3.0,99.54545454545455,5.043636363636364,3190.090909090909,206.3178109090909,06:14.2,50:07.4,62000.0,174.0,-4.8314683120965825,11,94.28571428571428,1.224047619047619
81,20230419_NISSAN_AZPEITIA_DONOSTIA_032,d3,19/04/2023 13:04,89.06666666666666,100.82,24.133331866666666,99.26,-811.6666666666666,9514.666666666666,3.0,97.0,1.2786666666666666,6842.4,90.24364006666666,48:13.9,26:13.9,62000.0,174.0,-5.386713535341359,15,128.57142857142856,3.600714285714285
81,20230419_NISSAN_ZARAUTZ_DONOSTIA_024,d4,19/04/2023 08:23,117.57142857142857,107.57142857142857,14.714285142857145,99.26,-1549.857142857143,20102.85714285714,3.0,90.14285714285714,2.587142857142857,7358.285714285715,118.09406928571427,17:20.6,35:10.0,62000.0,174.0,-1.5333354944822128,7,60.0,1.7928571428571427
81,20230420_NISSAN_EIBAR_BILBAO_050,d3,20/04/2023 11:10,119.3,50.56399999999999,21.899999280000003,99.25,-637.6,5182.4,3.0,91.88,0.49800000000000005,3448.38,119.86978092,48:07.7,32:43.5,62000.0,174.0,-7.039839397543805,50,428.57142857142856,6.019523809523808
81,20230420_NISSAN_EIBAR_DONOSTIA_054,d4,20/04/2023 14:34,133.5,74.52000000000001,19.85,99.24,-561.4,14388.0,3.1,91.3,2.727,4788.0,136.9690005,19:34.5,05:18.0,62000.0,174.0,6.592095651875833,10,85.71428571428571,1.7742857142857145
81,20230420_NISSAN_HERNANI_EIBAR_048,d3,20/04/2023 09:11,71.7,27.880000000000003,22.1375001,99.25,-65.8,5371.0,3.0,80.575,1.452,1856.025,71.99555554999999,11:14.5,07:44.5,62000.0,174.0,-1.4821401723660184,40,342.85714285714283,2.6552380952380954
81,20230420_NISSAN_ZARAUTZ_DONOSTIA_044,d3,20/04/2023 07:59,82.83333333333333,98.66666666666667,16.375,99.25,-1722.0,13553.333333333334,3.0,85.83333333333333,1.8808333333333334,6709.083333333333,82.98221091666666,53:40.9,12:06.9,62000.0,174.0,-1.049247309158106,12,102.85714285714286,2.8190476190476192
82,20230418_NISSAN_ANDOAIN_AZPEITIA_015,d1,18/04/2023 11:48,265.3,46.730000000000004,17.6,99.27,-914.0,15972.0,2.0,93.8,4.316,3186.3,265.214066,33:01.3,13:56.6,62000.0,174.0,-6.66849620677151,10,85.71428571428571,1.1126190476190476
82,20230418_NISSAN_AZPEITIA_DONOSTIA_016,d2,18/04/2023 13:50,71.0909090909091,62.593939393939394,16.303030303030305,99.27,-685.7575757575758,7219.393939393939,2.3333333333333335,89.24242424242425,0.9054545454545455,4263.969696969697,71.61318430303031,30:53.2,11:06.0,62000.0,174.0,-0.5203264865427337,33,282.85714285714283,4.918095238095238
82,20230418_NISSAN_HERNANI_TOLOSA_006,d2,18/04/2023 08:15,122.86666666666666,72.67666666666668,13.966666666666667,99.27,-685.6333333333333,6664.0,2.033333333333333,79.0,1.5953333333333333,4912.933333333333,123.4845567,09:27.9,29:02.0,62000.0,174.0,1.7738530835804178,30,257.1428571428571,5.191190476190477
82,20230419_NISSAN_ANDOAIN_AZPEITIA_031,d3,19/04/2023 11:15,133.38709677419354,56.49354838709677,23.306452967741937,99.26,-1015.2903225806451,7503.225806451613,3.0,95.6774193548387,0.35967741935483866,3864.064516129032,133.54248587096774,06:14.2,50:07.4,62000.0,174.0,6.9348607858205025,31,265.7142857142857,4.169761904761905
82,20230419_NISSAN_AZPEITIA_DONOSTIA_032,d3,19/04/2023 13:00,90.07692307692308,53.150000000000006,24.807692307692307,99.26,-665.4615384615385,7486.153846153846,3.0384615384615383,94.57692307692308,1.673846153846154,3559.153846153846,90.39811515384615,48:13.9,26:13.9,62000.0,174.0,-3.55840413424199,26,222.85714285714286,3.2902380952380956
82,20230419_NISSAN_ZARAUTZ_DONOSTIA_024,d4,19/04/2023 08:21,67.5,104.33,14.849999700000001,99.26,-1545.6,13312.0,3.0,87.1,2.126,7067.4,67.6594306,17:20.6,35:10.0,62000.0,174.0,-0.48304479891998275,10,85.71428571428571,2.484047619047619
82,20230420_NISSAN_EIBAR_BILBAO_050,d3,20/04/2023 11:07,152.6086956521739,95.0086956521739,22.391304347826086,99.25,-401.0869565217391,9800.0,3.0,93.0,1.0608695652173912,6440.130434782609,153.1104156521739,48:07.7,32:43.5,62000.0,174.0,-16.202142486497632,23,197.14285714285714,5.202857142857142
82,20230420_NISSAN_EIBAR_DONOSTIA_054,d4,20/04/2023 14:32,87.61538461538461,93.69999999999999,20.65384692307692,99.24,-528.0769230769231,12781.538461538461,3.0,88.6923076923077,1.6323076923076922,6355.307692307692,87.93995953846154,19:34.5,05:18.0,62000.0,174.0,8.181812834591467,13,111.42857142857143,2.900238095238095
82,20230420_NISSAN_TOLOSA_ZARAUTZ_043,d3,20/04/2023 07:49,74.75,92.725,15.500001,99.25,-1412.5,3240.0,3.0,89.5,-0.7775,6342.75,75.24636625,24:28.4,53:40.9,62000.0,174.0,-1.897369931362051,4,34.285714285714285,0.8830952380952379
82,20230420_NISSAN_ZARAUTZ_DONOSTIA_044,d3,20/04/2023 07:53,57.27777777777778,23.305555555555557,16.208333333333332,99.25,-1674.4166666666667,4477.777777777777,3.0,82.52777777777777,1.2175,1555.75,57.73859241666667,53:40.9,12:06.9,62000.0,174.0,-1.9754250562412758,36,308.57142857142856,1.9976190476190478
83,20230418_NISSAN_ANDOAIN_AZPEITIA_015,d1,18/04/2023 11:45,158.8125,52.0125,18.06250025,99.27,-914.0,8902.5,2.0,90.8125,3.143125,3547.3125,146.1849225,33:01.3,13:56.6,62000.0,174.0,-0.09669101543018666,16,137.14285714285714,1.9814285714285713
83,20230418_NISSAN_AZPEITIA_DONOSTIA_016,d2,18/04/2023 13:48,81.63157894736842,95.94736842105263,16.44736842105263,99.27,-592.7368421052631,13416.842105263158,2.0,88.3157894736842,0.46473684210526317,6510.368421052632,82.00291036842106,30:53.2,11:06.0,62000.0,174.0,-5.142105688518535,19,162.85714285714286,4.34047619047619
83,20230418_NISSAN_HERNANI_TOLOSA_006,d2,18/04/2023 08:11,105.18518518518519,43.17777777777778,13.092593407407408,99.27,-544.5555555555555,6429.62962962963,2.074074074074074,74.07407407407408,1.2796296296296295,2905.4814814814813,105.57504796296297,09:27.9,29:02.0,62000.0,174.0,1.2621358098899877,27,231.42857142857142,2.7757142857142854
83,20230419_NISSAN_ANDOAIN_AZPEITIA_031,d3,19/04/2023 11:13,129.78571428571428,94.44285714285715,23.607143999999998,99.26,-879.2857142857143,12874.285714285714,3.0,94.92857142857143,1.957857142857143,6386.928571428572,129.88869571428572,06:14.2,50:07.4,62000.0,174.0,10.833154820080614,14,120.0,3.1480952380952383
83,20230419_NISSAN_AZPEITIA_DONOSTIA_032,d3,19/04/2023 12:54,107.82051282051282,60.705128205128204,25.0,99.26,-400.20512820512823,4965.128205128205,3.0,95.94871794871794,0.6566666666666666,4151.538461538462,108.53699330769231,48:13.9,26:13.9,62000.0,174.0,-10.224162919601426,39,334.2857142857143,5.636904761904762
83,20230419_NISSAN_ZARAUTZ_DONOSTIA_024,d4,19/04/2023 08:18,49.5,37.127272727272725,14.499999,99.26,-1512.2272727272727,7540.0,3.0,82.63636363636364,1.6677272727272727,2517.590909090909,50.10081418181819,17:20.6,35:10.0,62000.0,174.0,0.7952240681021688,22,188.57142857142856,1.9447619047619045
83,20230420_NISSAN_EIBAR_BILBAO_050,d3,20/04/2023 11:04,150.94117647058823,100.77058823529411,23.0,99.25,-365.47058823529414,9032.941176470587,3.0,93.0,1.1052941176470588,6836.294117647059,151.33357470588237,48:07.7,32:43.5,62000.0,174.0,-15.506683875218945,17,145.71428571428572,4.078809523809523
83,20230420_NISSAN_EIBAR_DONOSTIA_054,d4,20/04/2023 14:29,101.1,97.075,21.2999996,99.24,-482.2,8188.0,3.0,87.65,0.8125,6580.2,101.79667505,19:34.5,05:18.0,62000.0,174.0,1.9896748348500068,20,171.42857142857142,4.622619047619048
83,20230420_NISSAN_TOLOSA_ZARAUTZ_043,d3,20/04/2023 07:45,110.9622641509434,71.47547169811321,15.509434792452831,99.25,-1417.7735849056603,5175.094339622641,3.0,88.41509433962264,0.2850943396226415,4826.169811320755,112.09461409433962,24:28.4,53:40.9,62000.0,174.0,2.4114074688513667,53,454.2857142857143,9.01952380952381
83,20230420_NISSAN_ZARAUTZ_DONOSTIA_044,d3,20/04/2023 07:53,56.0,18.8,16.0,99.25,-1619.0,0.0,3.0,84.0,2.5,1383.0,56.879906000000005,53:40.9,12:06.9,62000.0,174.0,-0.6636597601829068,1,8.571428571428571,0.04476190476190476
84,20230418_NISSAN_ANDOAIN_AZPEITIA_015,d1,18/04/2023 11:41,143.11111111111111,76.57037037037037,18.500002,99.27,-782.1111111111111,9429.62962962963,2.0,89.85185185185185,0.7033333333333333,5231.481481481482,139.63493014814816,33:01.3,13:56.6,62000.0,174.0,2.6750618484539674,27,231.42857142857142,4.922380952380951
84,20230418_NISSAN_AZPEITIA_DONOSTIA_016,d2,18/04/2023 13:44,85.85714285714286,54.625,16.321428571428573,99.27,-474.25,7124.285714285715,2.0357142857142856,86.14285714285714,2.005,3643.1785714285716,86.21257282142857,30:53.2,11:06.0,62000.0,174.0,-3.461720317381684,28,240.0,3.6416666666666666
84,20230418_NISSAN_DONOSTIA_HERNANI_005,d2,18/04/2023 08:02,132.24489795918367,36.751020408163264,12.285713857142857,99.27,-289.9591836734694,2767.3469387755104,2.0,67.83673469387755,-0.006734693877551076,2503.918367346939,132.89661055102042,02:22.8,09:26.9,62000.0,174.0,1.6547044011607188,49,420.0,4.287619047619048
84,20230418_NISSAN_HERNANI_TOLOSA_006,d2,18/04/2023 08:09,94.13333333333334,16.880000000000003,13.000001,99.27,-492.26666666666665,2693.3333333333335,2.0,73.0,3.038,1179.6666666666667,94.70731933333333,09:27.9,29:02.0,62000.0,174.0,0.8879158514628719,15,128.57142857142856,0.6028571428571429
84,20230419_NISSAN_ANDOAIN_AZPEITIA_031,d3,19/04/2023 11:11,112.52631578947368,92.71052631578948,23.999998,99.26,-825.2631578947369,12042.105263157895,3.0,94.05263157894737,1.3210526315789475,6306.578947368421,112.98078131578947,06:14.2,50:07.4,62000.0,174.0,9.949573576924891,19,162.85714285714286,4.194047619047619
84,20230419_NISSAN_AZPEITIA_DONOSTIA_032,d3,19/04/2023 12:50,131.06896551724137,64.23448275862069,25.275862068965516,99.26,-130.75862068965517,8670.344827586207,3.0,95.27586206896552,1.2589655172413792,4321.448275862069,131.61344696551723,48:13.9,26:13.9,62000.0,174.0,-10.29821769173645,29,248.57142857142856,4.435238095238095
84,20230419_NISSAN_TOLOSA_ZARAUTZ_023,d4,19/04/2023 08:05,93.56962025316456,52.6493670886076,15.09493669620253,99.26,-1277.9746835443038,3480.0,3.0,83.69620253164557,0.3531645569620253,3575.8987341772154,94.04202626582278,45:35.1,17:20.6,62000.0,174.0,1.1719894678208183,79,677.1428571428571,9.903095238095238
84,20230419_NISSAN_ZARAUTZ_DONOSTIA_024,d4,19/04/2023 08:17,47.714285714285715,22.785714285714285,14.499999,99.26,-1450.2857142857142,2577.1428571428573,3.0,80.85714285714286,1.7171428571428573,1484.142857142857,48.203449285714285,17:20.6,35:10.0,62000.0,174.0,-1.721939915699266,7,60.0,0.37976190476190474
